,correct
0,"np . maximum ( [ 2 , 3 , 4 ] , [ 1 , 5 , 2 ] )"
1,"max ( k for k , v in x . items ( ) if v != 0 )"
2,"max ( k for k , v in x . items ( ) if v != 0 )"
3,"len ( max ( words , key = len ) )"
4,"max ( lis , key = lambda item : item [ 1 ] ) [ 0 ]"
5,"max ( lis , key = itemgetter ( 1 ) ) [ 0 ]"
6,"b = models . CharField ( max_length = 7 , default = '0000000' , editable = False )"
7,max ( [ max ( i ) for i in matrix ] )
8,"os . system ( 'gnome-terminal -e \'bash -c ""sudo apt-get update; exec bash""\'' )"
9,"max ( x . min ( ) , x . max ( ) , key = abs )"
10,"datetime . datetime . combine ( my_date , datetime . time . min )"
11,"a [ np . argmin ( a [ : , ( 1 ) ] ) ]"
12,"print ( max ( d , key = lambda x : ( d [ x ] [ 'salary' ] , d [ x ] [ 'bonus' ] ) ) )"
13,"np . array ( [ np . arange ( 3 ) , np . arange ( 2 , -1 , -1 ) , np . ones ( ( 3 , ) ) ] ) . min ( axis = 0 )"
14,"max ( d , key = lambda x : d [ x ] [ 'count' ] )"
15,df . columns [ df . max ( ) >  0 ]
16,"print ( max ( 1 , 2 , 3 ) )"
17,[ max ( len ( str ( x ) ) for x in line ) for line in zip ( * foo ) ]
18,min ( [ x for x in num_list if x >  2 ] )
19,"min ( dicts , key = lambda x : ( abs ( 1.77672955975 - x [ 'ratio' ] ) , - x [ 'pixels' ] ) )"
20,arr [ arr != 0 ] . min ( )
21,"max ( alkaline_earth_values , key = lambda x : x [ 1 ] )"
22,df . groupby ( df . index . map ( lambda t : t . minute ) )
23,"max ( min ( my_value , max_value ) , min_value )"
24,"max ( list ( MyCount . keys ( ) ) , key = int )"
25,"[ max ( abs ( x ) for x in arr [ i : i + 4 ] ) for i in range ( 0 , len ( arr ) , 4 ) ]"
26,"max_item = max ( a_list , key = operator . itemgetter ( 1 ) )"
27,"max ( a_list , key = operator . itemgetter ( 1 ) )"
28,"pandas . read_csv ( filename , sep = '\t' , lineterminator = '\r' )"
29,webbrowser . open ( 'http://somesite.com/adminpanel/index.php' )
30,"min ( myList , key = lambda x : abs ( x - myNumber ) )"
31,max ( len ( word ) for word in i )
32,"len ( max ( i , key = len ) )"
33,"d . apply ( lambda row : min ( [ row [ 'A' ] , row [ 'B' ] ] ) - row [ 'C' ] , axis = 1 )"
34,"quadmesh . set_clim ( vmin = 0 , vmax = 15 )"
35,"df . groupby ( [ 'col5' , 'col2' ] ) . size ( ) . groupby ( level = 1 ) . max ( )"
36,"max ( enumerate ( a ) , key = lambda x : x [ 1 ] ) [ 0 ]"
37,"np . ma . array ( np . tile ( arr , 2 ) . reshape ( 2 , 3 ) , mask = ~ cond ) . argmax ( axis = 1 )"
38,"max ( lst , key = lambda x : x [ 'score' ] )"
39,"pandas . set_option ( 'display.max_columns' , 7 )"
40,"pandas . set_option ( 'display.max_columns' , None )"
41,a . index ( max ( a ) )
42,"min ( list , key = lambda x : float ( 'inf' ) if math . isnan ( x [ 1 ] ) else x [ 1 ] )"
43,p . terminate ( )
44,"max ( ld , key = lambda d : d [ 'size' ] )"
45,"min ( enumerate ( a ) , key = lambda x : abs ( x [ 1 ] - 11.5 ) )"
46,df . loc [ df [ 'Value' ] . idxmax ( ) ]
47,max ( test_string . rfind ( i ) for i in '([{' )
48,"print ( max ( x , key = sum ) )"
49,"( t - datetime . timedelta ( hours = 1 , minutes = 10 ) )"
